id,age,gender,program_type,risk_score,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
R0038,37,Male,Substance Use,0.7,0,1,0,0,0,0,1,1,1,0,0,1
R0039,42,Male,Employment,0.8,0,0,1,1,1,0,1,1,1,1,1,1
R0040,28,Male,Control,0.97,0,1,1,1,1,0,0,1,1,0,0,1
R0041,25,Male,CBT,0.92,1,0,0,1,1,1,1,1,1,1,0,1
R0042,30,Male,CBT,0.61,1,1,1,1,0,1,0,0,0,1,0,1
R0043,26,Male,Employment,0.48,0,1,0,0,0,1,1,0,0,1,1,0
R0044,37,Male,Employment,0.68,0,0,0,1,1,0,0,0,1,1,1,0
R0045,39,Male,Substance Use,0.21,0,0,0,0,1,1,0,1,0,0,1,1
R0046,39,Male,CBT,0.11,0,0,1,0,0,1,0,0,0,1,1,0
R0047,29,Female,Control,0.69,1,0,1,0,1,0,0,0,1,0,1,1
R0048,37,Female,Employment,0.82,0,1,1,0,1,0,0,1,1,0,1,1
R0049,30,Female,Control,0.1,0,0,0,1,0,1,0,0,1,0,1,0
R0050,29,Male,Substance Use,0.99,1,0,1,1,1,1,1,1,1,0,1,1
R0051,26,Male,CBT,0.84,1,1,1,0,0,1,1,0,1,1,1,1
R0052,44,Male,CBT,0.04,0,0,0,0,0,0,0,1,1,0,0,0
R0053,38,Male,Substance Use,0.25,0,1,0,1,1,1,0,1,0,0,1,1
R0054,26,Male,Control,0.7,0,0,0,0,0,0,1,1,1,0,1,0
R0055,46,Male,CBT,0.86,0,1,1,1,0,1,1,1,0,1,1,1
R0056,28,Male,Employment,0.86,0,0,0,1,1,1,0,1,0,1,0,1
R0057,32,Male,Employment,0.11,0,0,1,1,0,0,1,0,1,0,0,1
R0058,32,Male,Employment,0.19,0,0,0,0,0,0,0,0,1,1,0,0
R0059,32,Male,CBT,0.57,1,0,0,0,0,0,1,1,1,1,1,0
R0060,30,Male,Control,0.4,0,0,1,0,0,0,1,1,0,0,0,0
R0061,28,Male,Substance Use,0.26,0,0,0,0,0,0,0,0,0,0,0,1
R0062,31,Male,CBT,0.41,0,1,1,1,1,0,0,1,0,0,0,1
R0063,41,Male,CBT,0.89,1,1,1,0,1,0,0,0,0,1,1,1
R0064,33,Male,Substance Use,0.81,1,1,0,0,0,1,1,1,0,0,1,0
R0065,39,Male,Employment,0.32,0,0,0,0,0,0,0,1,1,0,1,0
R0066,30,Male,Employment,0.42,0,0,0,0,0,0,0,1,0,1,0,1
R0067,44,Male,Substance Use,0.26,1,1,1,0,1,0,0,0,1,0,0,1
R0068,31,Male,CBT,0.57,0,1,0,1,0,0,1,0,0,1,1,0
R0069,43,Male,CBT,0.62,1,1,0,0,0,0,0,1,0,0,1,1
R0070,37,Male,Control,0.93,1,1,1,0,0,1,0,0,1,0,1,1
R0071,25,Male,Substance Use,0.48,0,0,0,1,0,0,0,1,1,0,0,0
R0072,43,Male,Employment,0.19,1,0,0,0,1,0,0,0,0,1,1,1
R0073,43,Male,Substance Use,0.71,1,1,1,1,1,0,0,0,1,0,1,0
R0074,28,Male,CBT,0.75,0,0,1,1,1,1,1,1,1,1,1,1
R0075,37,Male,CBT,0.08,0,1,0,0,1,0,0,0,0,0,0,0
R0076,38,Male,Control,0.77,1,1,0,1,0,1,0,1,1,1,1,0
R0077,23,Female,Employment,0.63,0,0,0,1,0,0,0,0,0,1,1,0
R0078,23,Male,Control,0.93,1,0,0,0,1,1,1,1,0,1,1,1
R0079,28,Male,Employment,0.13,0,1,0,0,0,1,1,0,0,0,1,0
R0080,28,Male,Control,0.47,1,1,0,0,1,0,1,0,1,0,0,1
R0081,40,Male,Substance Use,0.22,1,0,1,0,0,0,0,1,1,0,1,0
R0082,30,Male,CBT,0.81,0,1,0,0,0,1,0,1,1,1,0,0
R0083,34,Male,Substance Use,0.09,0,1,0,0,0,0,0,1,0,0,0,0
R0084,30,Male,Control,0.8,0,0,1,1,0,1,1,1,1,1,1,1
R0085,60,Male,Control,0.17,1,0,1,0,0,0,1,0,0,0,0,1
R0086,34,Female,Control,0.31,0,0,0,0,0,1,1,0,0,1,0,0
R0087,28,Male,Control,0.14,1,0,0,1,0,0,0,1,0,0,0,0
R0088,37,Male,CBT,0.47,0,0,0,0,0,0,0,1,1,1,1,0
R0089,25,Male,CBT,0.15,1,0,1,0,0,0,1,1,1,0,0,1
R0090,37,Male,Employment,0.01,0,0,1,1,1,0,0,0,0,0,0,0
R0091,30,Female,Employment,0.01,0,0,1,0,0,0,1,0,0,0,0,0
R0092,36,Male,CBT,0.64,1,0,0,0,0,0,0,1,0,0,1,0
R0093,14,Male,Employment,0.9,1,1,1,0,1,1,1,1,0,0,1,1
R0094,40,Male,CBT,0.54,0,0,1,1,0,0,1,0,1,1,1,1
R0095,37,Female,Control,1,1,1,1,1,0,1,0,0,1,1,1,1
R0096,32,Female,Substance Use,0.92,0,0,0,0,0,1,1,1,1,1,1,1
R0097,29,Male,CBT,0.12,0,0,0,0,0,0,0,0,0,1,1,0
R0098,36,Female,Substance Use,0.61,0,0,1,1,0,0,0,0,1,1,1,0
R0099,54,Male,Control,0.65,1,0,0,1,0,0,1,0,1,1,0,0
R0100,35,Male,CBT,0.37,1,0,1,1,0,0,0,1,1,1,0,1
R0101,31,Male,Control,0.79,1,1,0,1,0,1,0,1,1,1,1,1
R0102,29,Male,Substance Use,0.15,0,0,0,0,1,0,0,0,1,0,1,1
R0103,52,Male,CBT,0.64,0,0,1,0,0,1,1,0,0,1,1,1
R0104,42,Male,Substance Use,0.33,1,0,0,1,0,0,0,0,0,0,0,1
R0105,25,Male,Control,0.37,1,0,0,0,0,1,0,0,1,0,0,1
R0106,31,Male,CBT,0.87,1,1,0,1,1,1,0,0,1,0,1,1
R0107,52,Male,Employment,0.63,0,1,0,1,0,0,1,1,1,1,1,0
R0108,47,Male,Control,0.27,1,0,1,0,0,0,1,1,0,0,1,0
R0109,50,Male,Employment,0.46,0,1,1,1,1,0,1,1,1,1,0,1
R0110,46,Male,Substance Use,0.56,1,1,0,0,1,1,1,1,0,0,0,1
R0111,37,Male,Substance Use,0.35,1,0,0,0,1,0,0,0,0,1,1,0
R0112,27,Male,Substance Use,0.96,1,0,1,1,1,1,1,1,0,1,0,1
R0113,42,Male,Substance Use,0.29,0,0,0,0,0,0,0,1,1,1,1,0
R0114,31,Male,Substance Use,0.48,0,1,0,0,0,0,0,0,0,1,0,1
R0115,49,Male,Control,0.71,1,0,0,1,0,0,1,1,0,0,1,1
R0116,42,Male,Substance Use,0.21,0,1,0,0,1,0,0,0,1,1,0,1
R0117,35,Male,Employment,0.57,1,1,0,1,1,1,1,1,1,1,1,0
R0118,39,Female,Employment,0.06,0,1,0,0,1,0,0,0,1,0,0,0
R0119,38,Male,Control,0.85,1,0,1,1,1,0,1,0,0,1,1,0
R0120,36,Female,Employment,0.25,1,0,1,0,0,0,0,0,1,0,0,0
R0121,24,Male,Employment,0.66,1,1,0,1,1,1,1,0,0,1,1,1
R0122,18,Male,Control,0.47,0,0,1,1,0,0,0,1,1,0,0,0
R0123,32,Male,Control,0.36,0,1,0,0,0,1,0,0,0,0,1,1
R0124,37,Female,Control,0.85,1,1,0,0,0,1,0,0,1,1,0,1
R0125,35,Male,Substance Use,0.02,1,0,1,0,0,1,0,0,0,0,1,0
R0126,44,Male,CBT,0.43,0,0,0,1,1,0,1,1,0,0,0,1
R0127,31,Female,Substance Use,0.64,0,0,0,0,0,1,0,0,0,1,0,1
R0128,31,Female,Control,0.8,0,0,0,1,0,0,1,1,1,0,1,1
R0129,36,Male,Control,0.13,0,0,0,0,1,1,0,0,0,0,1,0
R0130,21,Male,Employment,0.63,0,0,0,0,1,0,1,1,1,1,1,1
R0131,33,Male,Control,0.44,0,0,0,1,0,1,0,1,1,1,1,1
R0132,36,Male,Employment,0.6,0,0,0,1,0,1,0,1,0,1,1,1
R0133,53,Male,CBT,0.8,1,0,0,0,0,0,1,1,0,1,1,1
R0134,34,Male,CBT,0.79,1,0,1,0,1,1,1,0,1,0,0,0
R0135,33,Male,Employment,0.87,1,1,0,1,1,0,0,1,0,1,1,1
R0136,40,Male,Control,0.12,0,0,1,0,0,0,0,1,0,0,0,1
R0137,23,Male,CBT,0.76,1,0,1,0,1,0,0,1,0,0,1,1
R0138,27,Male,Employment,0.55,0,1,1,0,0,1,1,0,1,1,0,1
R0139,36,Male,Control,0.49,0,0,0,0,0,0,1,0,0,1,1,1
R0140,34,Male,CBT,0.82,0,1,0,1,1,0,0,1,1,0,1,0
R0141,21,Female,CBT,0.55,1,1,0,1,0,0,1,0,1,0,1,0
R0142,43,Male,Substance Use,0.06,0,0,1,0,0,0,1,0,0,0,0,1
R0143,27,Male,CBT,0.31,1,0,0,0,0,0,0,1,0,0,1,0
R0144,58,Male,Employment,0.11,0,0,0,0,0,0,0,0,0,0,0,1
R0145,44,Male,CBT,0.82,0,0,0,0,1,0,1,1,0,1,0,1
R0146,35,Male,CBT,0.44,0,1,0,1,0,1,0,0,0,0,0,1
R0147,35,Female,CBT,0.5,0,1,0,1,0,0,1,0,0,0,1,0
R0148,35,Male,CBT,0.77,0,1,0,0,0,0,1,1,1,0,1,1
R0149,33,Female,Substance Use,0.24,0,1,0,0,1,0,0,0,1,1,0,0
R0150,38,Male,CBT,0.57,0,0,1,0,1,1,1,1,0,1,1,0
