incident_id,date,time,county,latitude,longitude,num_vehicles,occupants,primary_cause,secondary_cause,severity,injuries,fatalities,road_condition,driver_age,driver_gender,intox_alcohol,intox_drugs,intox_any,vehicle1_make,vehicle1_model,vehicle1_year,vehicle2_make,vehicle2_model,vehicle2_year
AK296123,08/17/2023,16:27:16,Juneau,70.380758,-162.4076,1,1,wildlife,NA,1,1,0,wet,29,Female,0,0,0,Kia,Sportage,2001,NA,NA,NA
AK442066,07/10/2023,02:59:48,Anchorage,64.251142,-155.406075,2,6,fatigue,distracted,3,2,0,icy,28,Male,1,0,1,Kia,Sportage,2005,Chevrolet,Silverado,2001
AK591300,01/09/2023,05:00:35,Matanuska-Susitna,60.745176,-133.05462,2,2,fatigue,distracted,1,0,0,normal,16,Male,0,0,0,GMC,Sierra,2015,Kia,Sportage,2014
AK784277,04/24/2024,13:58:47,Sitka,69.08728,-138.110685,2,4,distracted,weather,3,1,0,icy,61,Female,0,0,0,Ram,1500,2006,Kia,Sportage,2013
AK219229,03/13/2025,03:22:43,Dillingham,64.061027,-132.524433,2,2,wildlife,NA,1,0,0,normal,31,Female,0,0,0,Nissan,Rogue,2015,Chevrolet,Silverado,2012
AK505029,06/29/2023,14:37:10,Anchorage,56.587977,-134.328962,2,4,fatigue,NA,1,0,0,normal,23,Female,0,0,0,Volkswagen,Jetta,2007,Volkswagen,Jetta,2023
AK215913,05/06/2023,06:44:38,Anchorage,63.66256,-149.590704,2,7,distracted,impaired,2,0,0,normal,16,Male,0,0,0,Kia,Sportage,2025,Honda,CR-V,2018
AK696462,06/24/2024,04:01:04,Nome,59.319683,-146.662634,2,3,other,wildlife,1,0,0,normal,30,Female,0,0,0,Jeep,Grand Cherokee,2012,Nissan,Rogue,2003
AK871413,07/26/2024,20:40:40,Fairbanks North Star,70.338303,-131.327863,2,2,other,distracted,1,0,0,icy,16,Male,0,0,0,Mazda,CX-5,2010,Chevrolet,Silverado,2016
AK107043,11/13/2024,12:48:00,Kenai Peninsula,63.423054,-151.808299,2,3,distracted,wildlife,1,0,0,icy,51,Female,0,0,0,Hyundai,Tucson,2014,Volkswagen,Jetta,2014
AK847895,07/12/2024,08:30:04,Sitka,68.482484,-136.049817,1,2,failure_to_yield,NA,1,0,0,normal,21,Male,0,0,0,Subaru,Outback,2005,NA,NA,NA
AK309845,08/14/2024,14:20:23,North Slope,57.985964,-148.022078,2,2,other,NA,1,0,0,normal,17,Female,0,0,0,Honda,CR-V,2011,Ram,1500,2010
AK445798,11/06/2022,15:14:43,Fairbanks North Star,56.792809,-153.78406,2,8,distracted,failure_to_yield,1,0,0,icy,39,Female,0,0,0,Mazda,CX-5,2015,Kia,Sportage,2014
AK393389,03/05/2025,09:28:30,Matanuska-Susitna,59.533905,-132.636894,2,3,distracted,NA,1,0,0,normal,16,Female,0,0,0,Hyundai,Tucson,2015,Chevrolet,Silverado,2009
AK848468,06/02/2025,07:54:31,Matanuska-Susitna,64.813926,-158.462793,2,8,failure_to_yield,impaired,2,3,0,wet,17,Male,0,0,0,GMC,Sierra,2025,Toyota,RAV4,2011
AK458095,06/16/2022,07:34:35,Valdez-Cordova,58.146808,-132.75013,1,2,other,NA,1,0,0,normal,45,Male,0,0,0,Mazda,CX-5,2009,NA,NA,NA
AK959254,08/06/2022,14:03:12,Fairbanks North Star,63.030759,-143.154026,2,3,weather,NA,3,3,0,normal,49,Male,0,0,0,Jeep,Grand Cherokee,2012,Dodge,Charger,2012
AK010310,08/07/2025,17:52:12,Wrangell,61.767357,-130.808888,1,1,distracted,NA,1,1,0,normal,41,Male,0,0,0,Ram,1500,2004,NA,NA,NA
AK321749,08/05/2023,04:57:57,Anchorage,65.785025,-160.843825,2,3,fatigue,road_defect,2,0,0,icy,40,Male,0,0,0,Dodge,Charger,2006,Hyundai,Tucson,2015
AK862227,03/14/2022,07:36:33,Fairbanks North Star,60.718048,-165.741807,2,3,distracted,wildlife,1,0,0,normal,40,Male,0,0,0,Subaru,Outback,2013,Hyundai,Tucson,2007
AK781042,08/12/2023,05:11:07,Sitka,61.710593,-138.238689,2,2,distracted,fatigue,1,0,0,normal,45,Male,0,0,0,Subaru,Outback,2008,GMC,Sierra,2020
AK131353,05/22/2022,20:56:52,Anchorage,70.44019,-158.142403,2,6,other,weather,2,2,0,normal,29,Male,0,1,1,Honda,CR-V,2003,Subaru,Outback,2002
AK987553,12/24/2023,00:49:42,Fairbanks North Star,66.301476,-140.544399,2,7,speeding,speeding,2,0,0,normal,46,Male,1,0,1,Dodge,Charger,2022,Volkswagen,Jetta,2010
AK006549,05/09/2024,03:01:01,Kodiak Island,67.653138,-169.479946,2,7,failure_to_yield,distracted,3,1,1,icy,24,Female,0,0,0,Chevrolet,Silverado,2012,Hyundai,Tucson,2010
AK204810,06/03/2022,07:40:13,Anchorage,65.374385,-167.209451,2,4,other,NA,1,0,0,normal,41,Male,0,0,0,Nissan,Rogue,2014,Ford,F-150,2016
AK109978,10/22/2022,02:25:14,Valdez-Cordova,69.032277,-152.554744,1,1,distracted,distracted,1,0,0,normal,16,Male,0,0,0,Chevrolet,Silverado,2011,NA,NA,NA
AK002865,10/05/2022,10:25:51,Yukon-Koyukuk,64.203934,-136.02836,2,2,fatigue,NA,3,2,0,icy,44,Female,0,0,0,Nissan,Rogue,2016,Subaru,Outback,2006
AK243270,02/11/2022,17:29:27,Nome,59.734766,-132.548812,2,3,failure_to_yield,NA,1,0,0,normal,44,Male,0,0,0,Kia,Sportage,2018,Kia,Sportage,2023
AK433996,03/08/2023,03:14:47,Juneau,63.348761,-164.17114,1,2,weather,wildlife,2,2,0,icy,57,Male,0,0,0,Honda,CR-V,2013,NA,NA,NA
AK373940,04/01/2022,18:22:57,Fairbanks North Star,60.88546,-163.057097,2,7,distracted,NA,1,0,0,normal,42,Male,0,0,0,Volkswagen,Jetta,2010,GMC,Sierra,2015
AK140879,11/13/2022,01:03:52,Sitka,65.760513,-140.553959,1,1,road_defect,wildlife,1,0,0,wet,64,Female,0,0,0,Subaru,Outback,2014,NA,NA,NA
AK279903,06/01/2025,10:44:43,Anchorage,62.222941,-163.169856,1,1,speeding,NA,1,0,0,normal,40,Female,0,0,0,Nissan,Rogue,2011,NA,NA,NA
AK833434,06/13/2023,23:33:46,Anchorage,59.311125,-132.878066,2,2,speeding,wildlife,2,1,0,icy,36,Male,0,0,0,Honda,CR-V,2010,Subaru,Outback,2001
AK485731,02/14/2025,00:30:38,Nome,58.530491,-169.651332,2,3,failure_to_yield,wildlife,1,0,0,wet,34,Female,0,0,0,Volkswagen,Jetta,2013,Chevrolet,Silverado,2014
AK326208,02/14/2024,13:43:27,Matanuska-Susitna,67.556189,-164.898857,2,3,speeding,failure_to_yield,3,2,0,normal,39,Female,0,0,0,Kia,Sportage,2025,Ram,1500,2007
AK407699,01/18/2024,05:59:32,Sitka,56.870824,-164.633836,2,3,impaired,NA,3,0,0,normal,50,Male,0,0,0,GMC,Sierra,2007,Kia,Sportage,2012
AK014020,04/02/2023,20:59:20,Bethel,66.369202,-158.608267,2,6,road_defect,speeding,2,0,0,normal,57,Male,0,0,0,Mazda,CX-5,2008,Mazda,CX-5,2019
AK946967,08/22/2023,09:42:56,Yukon-Koyukuk,59.568921,-133.366907,2,3,other,impaired,3,3,0,icy,45,Male,0,0,0,Jeep,Grand Cherokee,2009,Nissan,Rogue,2015
AK090127,11/29/2024,02:11:57,Anchorage,68.906963,-147.342976,2,5,impaired,impaired,2,1,0,normal,63,Female,0,1,1,Ford,F-150,2011,Chevrolet,Silverado,2006
AK220550,03/29/2025,10:27:58,Fairbanks North Star,71.02882,-146.95314,2,4,speeding,road_defect,1,0,0,normal,57,Male,0,0,0,Jeep,Grand Cherokee,2009,Chevrolet,Silverado,2020
AK712430,01/23/2024,00:39:19,Fairbanks North Star,69.518397,-161.678089,2,3,fatigue,NA,2,2,0,normal,32,Female,0,0,0,Hyundai,Tucson,2013,Mazda,CX-5,2007
AK613249,05/18/2025,11:23:26,Kenai Peninsula,58.910522,-140.824767,1,2,impaired,NA,2,0,0,normal,26,Female,0,0,0,Chevrolet,Silverado,2009,NA,NA,NA
AK977401,01/10/2023,07:44:24,Nome,61.963518,-131.984619,2,2,distracted,NA,1,0,0,normal,62,Female,0,0,0,GMC,Sierra,2013,Dodge,Charger,2020
AK875004,02/04/2022,23:20:32,Ketchikan Gateway,56.112632,-134.901986,1,1,other,NA,1,0,0,normal,51,Male,0,0,0,Jeep,Grand Cherokee,2007,NA,NA,NA
AK957345,06/01/2023,03:13:25,Bethel,60.587546,-154.882729,2,8,distracted,speeding,2,0,0,normal,34,Male,0,0,0,Volkswagen,Jetta,2014,Mazda,CX-5,2014
AK339325,01/14/2022,00:28:49,Anchorage,60.867427,-158.489416,2,4,distracted,weather,3,1,0,normal,46,Male,1,0,1,Chevrolet,Silverado,2016,Toyota,RAV4,2015
AK637677,03/11/2022,18:31:16,Juneau,59.937775,-156.096673,2,6,impaired,fatigue,2,0,0,normal,16,Nonbinary/Other,0,0,0,Ford,F-150,2020,Nissan,Rogue,2009
AK232475,01/26/2024,17:39:45,Valdez-Cordova,58.237408,-154.371299,1,3,wildlife,NA,3,3,0,icy,31,Male,0,1,1,GMC,Sierra,2009,NA,NA,NA
AK629226,02/14/2023,17:23:04,Kenai Peninsula,68.281826,-156.002823,1,2,weather,NA,1,0,0,icy,37,Female,0,0,0,Jeep,Grand Cherokee,2014,NA,NA,NA
AK987315,08/25/2025,01:07:06,Nome,69.742696,-130.38377500000001,2,3,wildlife,speeding,1,0,0,icy,24,Male,0,0,0,Dodge,Charger,2017,Kia,Sportage,2014
AK421514,07/26/2025,06:55:52,Yukon-Koyukuk,64.600682,-155.445847,2,3,wildlife,impaired,1,0,0,normal,24,Male,0,0,0,Jeep,Grand Cherokee,2017,Volkswagen,Jetta,2017
AK405511,01/18/2025,21:07:32,Anchorage,60.609368,-142.707376,2,4,fatigue,fatigue,2,2,0,normal,48,Male,0,1,1,Volkswagen,Jetta,2006,Ford,F-150,2011
AK590653,07/17/2024,19:15:18,Prince of Wales-Hyder,65.160017,-130.536922,2,2,impaired,NA,2,1,0,normal,67,Female,0,0,0,Mazda,CX-5,2017,Ram,1500,2010
AK277229,10/03/2024,09:43:25,Fairbanks North Star,56.683321,-158.188743,1,2,impaired,NA,1,0,0,icy,16,Male,0,0,0,GMC,Sierra,2009,NA,NA,NA
AK266406,06/22/2023,23:02:13,Bethel,61.464046,-131.503279,2,4,fatigue,NA,1,0,0,normal,26,Male,0,0,0,Honda,CR-V,2013,Dodge,Charger,2014
AK779620,09/10/2024,08:30:22,Anchorage,68.412912,-133.711651,1,1,weather,weather,1,0,0,normal,41,Female,0,0,0,Ram,1500,2015,NA,NA,NA
AK444258,10/19/2022,22:29:27,Southeast Fairbanks,60.185914,-145.957472,2,7,other,road_defect,1,0,0,normal,27,Male,0,0,0,Volkswagen,Jetta,2017,Toyota,RAV4,2004
AK718733,12/19/2025,22:47:43,Anchorage,68.079544,-169.245542,2,5,distracted,wildlife,2,0,0,normal,27,Male,0,0,0,Nissan,Rogue,2017,Volkswagen,Jetta,2022
AK590540,08/03/2025,15:23:16,Kenai Peninsula,61.34278,-168.382945,2,6,weather,NA,2,1,0,icy,16,Male,0,0,0,Toyota,RAV4,2010,GMC,Sierra,2009
AK216012,11/03/2023,04:13:09,Matanuska-Susitna,70.268801,-151.490858,2,7,impaired,speeding,1,0,0,icy,36,Male,0,0,0,Nissan,Rogue,2005,Nissan,Rogue,2015
AK019828,05/02/2022,02:05:05,Anchorage,70.681093,-148.984822,1,1,other,NA,1,0,0,wet,49,Male,0,0,0,Nissan,Rogue,2010,NA,NA,NA
AK669052,02/08/2025,03:30:50,Anchorage,70.728438,-163.520603,2,3,other,weather,1,1,0,normal,67,Male,0,0,0,GMC,Sierra,2017,Jeep,Grand Cherokee,2008
AK285497,03/28/2025,04:37:38,Matanuska-Susitna,59.510571,-157.316041,2,4,impaired,NA,3,2,0,wet,21,Female,1,0,1,Mazda,CX-5,2011,Hyundai,Tucson,2025
AK113053,12/24/2024,01:22:26,Dillingham,68.150351,-147.590314,2,7,speeding,NA,1,0,0,normal,46,Female,0,0,0,Subaru,Outback,2019,Honda,CR-V,2011
AK729771,04/26/2023,05:18:40,Kenai Peninsula,55.594401,-159.135057,2,2,road_defect,NA,3,1,0,normal,44,Female,0,0,0,GMC,Sierra,2013,Kia,Sportage,2016
AK743352,03/09/2022,00:47:30,Kenai Peninsula,63.091759,-168.460691,2,7,road_defect,NA,1,0,0,normal,63,Male,0,0,0,Subaru,Outback,2017,Chevrolet,Silverado,2009
AK727078,10/11/2024,04:40:41,Ketchikan Gateway,56.856179,-131.228738,1,1,weather,NA,1,0,0,normal,49,Female,0,0,0,Hyundai,Tucson,2020,NA,NA,NA
AK645348,01/14/2025,22:52:14,Aleutians West,57.446255,-146.332503,2,3,distracted,NA,1,0,0,normal,49,Female,0,0,0,Honda,CR-V,2006,Ford,F-150,2006
AK529563,06/15/2022,12:10:56,Anchorage,56.235051,-130.715418,2,5,speeding,NA,2,1,0,wet,35,Female,0,0,0,Ram,1500,2021,Mazda,CX-5,2007
AK896819,12/11/2024,06:41:05,Kodiak Island,60.003,-161.854901,2,3,failure_to_yield,NA,3,3,1,normal,34,Female,0,0,0,Kia,Sportage,2010,Mazda,CX-5,2005
AK918301,01/03/2025,00:47:04,Matanuska-Susitna,61.87829,-133.761104,2,4,other,NA,2,1,0,icy,29,Male,0,0,0,Hyundai,Tucson,2020,Nissan,Rogue,2006
AK382142,04/17/2025,15:50:25,Southeast Fairbanks,65.273082,-157.123097,2,5,failure_to_yield,NA,1,0,0,normal,22,Male,0,0,0,Mazda,CX-5,2005,Toyota,RAV4,2014
AK215298,10/18/2025,08:51:53,Haines,71.054814,-159.612512,2,6,wildlife,NA,1,0,0,wet,70,Male,0,0,0,Kia,Sportage,2009,GMC,Sierra,2018
AK972856,08/25/2022,12:55:58,Anchorage,58.975764,-160.707943,2,7,wildlife,NA,2,1,0,normal,41,Male,0,0,0,Dodge,Charger,2018,Volkswagen,Jetta,2010
AK832749,09/03/2023,00:02:16,Nome,68.779513,-160.358057,2,3,failure_to_yield,distracted,2,1,0,icy,23,Female,0,0,0,Kia,Sportage,2017,Mazda,CX-5,2002
AK263747,11/27/2022,14:50:30,Anchorage,61.830637,-140.424316,2,4,fatigue,NA,3,4,0,icy,40,Male,0,0,0,Honda,CR-V,2000,Ram,1500,2015
AK806592,12/28/2023,16:41:06,Matanuska-Susitna,59.815836,-152.385921,2,3,distracted,distracted,2,1,0,icy,21,Female,0,0,0,Hyundai,Tucson,2008,Mazda,CX-5,2001
AK597216,05/08/2022,18:59:58,Anchorage,62.739737,-136.361761,2,3,speeding,failure_to_yield,3,0,0,normal,28,Female,0,0,0,Chevrolet,Silverado,2002,Ford,F-150,2020
AK977858,08/01/2022,10:05:32,Matanuska-Susitna,70.544652,-147.419847,1,1,distracted,fatigue,1,0,0,normal,51,Female,0,0,0,Ford,F-150,2017,NA,NA,NA
AK467877,11/18/2023,19:12:33,Kenai Peninsula,70.47662,-147.536731,1,1,wildlife,distracted,1,0,0,normal,22,Female,0,0,0,Volkswagen,Jetta,2009,NA,NA,NA
AK965210,03/25/2024,14:39:54,Anchorage,54.938335,-132.918732,2,3,fatigue,weather,3,0,0,icy,44,Female,1,0,1,Subaru,Outback,2015,Hyundai,Tucson,2014
AK623398,08/27/2025,11:02:41,Kenai Peninsula,59.477662,-132.733181,2,2,distracted,NA,3,2,0,normal,26,Female,1,0,1,Dodge,Charger,2016,Volkswagen,Jetta,2007
AK612220,07/20/2024,23:35:21,Anchorage,55.757275,-162.208241,2,4,distracted,NA,1,0,0,icy,58,Male,0,0,0,Mazda,CX-5,2017,Ram,1500,2008
AK032299,05/28/2024,10:13:33,Southeast Fairbanks,55.887244,-159.466938,2,5,speeding,distracted,2,1,0,icy,46,Male,0,0,0,Jeep,Grand Cherokee,2010,Toyota,RAV4,2014
AK524286,09/01/2022,00:58:37,Anchorage,70.716806,-169.440465,2,5,speeding,NA,1,0,0,normal,35,Female,0,0,0,Kia,Sportage,2016,Subaru,Outback,2006
AK752613,04/27/2024,13:20:53,Valdez-Cordova,62.145221,-142.889232,1,1,other,failure_to_yield,1,0,0,normal,16,Female,1,0,1,GMC,Sierra,2016,NA,NA,NA
AK500158,02/11/2025,02:47:44,Juneau,65.926726,-166.838556,2,6,speeding,road_defect,3,2,0,normal,29,Female,0,0,0,Jeep,Grand Cherokee,2024,Honda,CR-V,1998
AK187685,09/10/2024,08:54:09,Anchorage,55.018198,-134.715049,2,5,fatigue,NA,1,0,0,normal,30,Male,0,0,0,GMC,Sierra,2008,Honda,CR-V,2017
AK352774,09/12/2023,17:18:44,Valdez-Cordova,67.675488,-145.997592,2,4,speeding,fatigue,2,0,0,normal,65,Male,0,0,0,Honda,CR-V,2015,Chevrolet,Silverado,2017
AK814305,04/23/2023,19:39:53,Matanuska-Susitna,60.307089,-141.022766,1,1,wildlife,NA,1,0,0,normal,46,Male,0,0,0,Toyota,RAV4,2013,NA,NA,NA
AK975442,06/01/2022,23:31:38,Kenai Peninsula,58.642725,-135.984753,1,4,weather,wildlife,3,4,1,wet,39,Nonbinary/Other,0,0,0,GMC,Sierra,2009,NA,NA,NA
AK187688,10/29/2023,11:35:52,Matanuska-Susitna,70.242658,-135.002095,2,6,failure_to_yield,NA,1,0,0,icy,52,Female,0,0,0,Kia,Sportage,2020,Nissan,Rogue,2017
AK459376,02/07/2024,20:56:43,Matanuska-Susitna,63.84252,-142.887327,2,4,distracted,NA,1,0,0,icy,16,Male,0,0,0,Nissan,Rogue,2016,Kia,Sportage,2014
AK639476,06/10/2022,13:26:59,Fairbanks North Star,55.678595,-155.710271,2,4,speeding,NA,3,4,0,wet,33,Female,0,0,0,Chevrolet,Silverado,2008,Subaru,Outback,2021
AK590722,11/16/2025,11:51:22,Kenai Peninsula,63.475266,-150.4161,1,1,distracted,NA,2,1,0,normal,48,Male,0,0,0,Mazda,CX-5,2011,NA,NA,NA
AK827165,06/05/2022,01:37:38,Kenai Peninsula,70.909825,-130.581715,2,2,fatigue,NA,3,1,0,wet,22,Male,0,0,0,Nissan,Rogue,2010,Toyota,RAV4,2016
AK005439,03/03/2023,11:16:25,Ketchikan Gateway,63.429086,-149.778135,2,7,weather,speeding,3,1,0,normal,53,Male,1,1,1,Kia,Sportage,2013,Jeep,Grand Cherokee,2009
AK456769,10/26/2024,05:12:01,North Slope,67.130666,-166.667926,1,1,weather,NA,1,0,0,wet,43,Female,0,0,0,Chevrolet,Silverado,2015,NA,NA,NA
AK203010,11/23/2022,17:39:23,Bethel,63.414019,-158.387656,2,8,failure_to_yield,road_defect,1,0,0,normal,38,Female,0,0,0,Honda,CR-V,2013,Hyundai,Tucson,2015
AK381826,07/28/2025,19:19:10,Anchorage,59.820161,-139.770655,2,6,impaired,NA,1,0,0,normal,60,Male,1,0,1,Dodge,Charger,2011,Nissan,Rogue,2012
AK864931,02/29/2024,03:58:15,Bethel,67.55785,-167.320157,2,5,wildlife,wildlife,2,0,0,icy,35,Male,0,0,0,GMC,Sierra,2012,Nissan,Rogue,2018
AK121102,06/16/2025,17:54:04,Aleutians East,69.075915,-132.168444,2,4,impaired,NA,2,1,0,normal,24,Female,0,0,0,Chevrolet,Silverado,2008,Ford,F-150,2016
AK483839,09/25/2025,16:02:50,Matanuska-Susitna,55.139195,-132.410834,2,6,speeding,NA,2,1,0,icy,16,Female,0,0,0,Subaru,Outback,2008,Kia,Sportage,2008
AK339755,09/12/2024,08:31:26,Ketchikan Gateway,61.852705,-167.847476,1,2,other,NA,1,0,0,normal,23,Male,0,0,0,Hyundai,Tucson,2009,NA,NA,NA
AK383542,02/09/2022,07:37:57,Haines,65.060693,-147.415858,2,7,speeding,road_defect,3,2,0,normal,37,Male,1,0,1,Chevrolet,Silverado,2016,Mazda,CX-5,2010
AK145754,04/02/2024,09:07:20,Matanuska-Susitna,55.661101,-168.080497,2,3,weather,wildlife,3,1,1,wet,58,Male,0,0,0,GMC,Sierra,2011,GMC,Sierra,2021
AK597757,09/13/2024,20:56:48,Kodiak Island,57.633493,-157.316686,2,4,distracted,NA,1,0,0,normal,54,Male,1,0,1,Mazda,CX-5,2020,Kia,Sportage,2002
AK187390,05/18/2022,17:05:44,Southeast Fairbanks,68.138277,-141.657509,2,5,distracted,NA,1,0,0,normal,38,Male,0,0,0,Honda,CR-V,2016,Dodge,Charger,2008
AK790288,04/01/2023,22:17:21,Matanuska-Susitna,63.082919,-161.533116,2,2,speeding,NA,3,2,0,normal,35,Female,0,0,0,Nissan,Rogue,2012,Jeep,Grand Cherokee,2016
AK668863,08/13/2023,09:05:02,Bethel,59.478477,-144.707156,2,6,failure_to_yield,NA,2,1,0,icy,53,Male,0,0,0,Chevrolet,Silverado,2005,Toyota,RAV4,2004
AK318967,01/12/2025,00:44:28,Aleutians East,57.44591,-134.861014,2,4,impaired,NA,2,0,0,normal,52,Female,0,0,0,Mazda,CX-5,2019,Nissan,Rogue,2001
AK955215,02/09/2022,09:51:28,Valdez-Cordova,69.151385,-159.042005,2,5,impaired,NA,2,2,0,normal,30,Male,0,1,1,Honda,CR-V,2012,Toyota,RAV4,2016
AK736515,07/16/2022,02:24:00,Sitka,56.510951,-166.296423,2,7,distracted,NA,1,0,0,normal,35,Male,0,0,0,Kia,Sportage,2007,Hyundai,Tucson,2006
AK809823,11/12/2023,00:06:30,Yukon-Koyukuk,66.247582,-154.085186,1,2,distracted,fatigue,2,1,0,normal,37,Female,1,0,1,Dodge,Charger,2016,NA,NA,NA
AK685782,08/03/2025,03:27:43,Fairbanks North Star,68.257102,-132.06976,2,5,weather,NA,3,2,0,normal,55,Male,0,0,0,GMC,Sierra,2008,Honda,CR-V,2022
AK985842,05/16/2023,07:44:41,Anchorage,57.82468,-160.658452,2,5,road_defect,fatigue,3,3,1,wet,32,Female,0,0,0,Toyota,RAV4,2011,Kia,Sportage,2013
AK280345,09/12/2024,05:52:32,Anchorage,70.289491,-162.760609,2,3,fatigue,NA,1,0,0,normal,67,Male,1,0,1,Subaru,Outback,2016,Jeep,Grand Cherokee,2010
AK085771,12/11/2022,02:25:30,Anchorage,61.089795,-132.235187,2,5,other,wildlife,1,0,0,icy,33,Male,0,0,0,Toyota,RAV4,2014,Honda,CR-V,2011
